index,artist,title,mood,split
ML217,Etta James,A Sunday Kind Of Love,relaxed,train
ML1308,Willie Nelson,Sad Songs And Waltzes,sad,train
ML1617,Peaches,Fuck The Pain Away,happy,train
ML515,Megadeth,Use the Man,angry,train
ML1051,AFI,Silver And Cold,sad,train
ML1294,Johnny Paycheck,Take This Job and Shove It,happy,train
ML74,COLD,Stupid Girl,angry,train
ML1241,Diamond Head,Am I Evil?,angry,train
ML1124,Thievery Corporation,Amerimacka ,relaxed,train
ML1946,Dew-Scented,Blueprints of hate,angry,train
ML771,Ice Cube,The Nigga Ya Love to Hate,angry,train
ML1580,The Jackson 5,The Love You Save,happy,train
ML1020,"""Weird Al"" Yankovic",Eat It,happy,train
ML187,Carrie Underwood,I Told You So,sad,train
ML1021,Suicidal Tendencies,Institutionalized,angry,train
ML270,Megadeth,Moto Psycho,angry,train
ML15,The Proclaimers,I'm On My Way,happy,train
ML1503,Ween,Boys Club,happy,train
ML1217,Serge Gainsbourg,Comic Strip,happy,train
ML1143,The Dillinger Escape Plan,The Mullet Burden,angry,train
ML503,Eric Burdon,Don't Let Me Be Misunderstood,angry,train
ML1396,Patrick Wolf,To the Lighthouse,sad,train
ML1909,Tori Amos,Professional Widow,angry,train
ML1553,The Beatles,Please Please Me,happy,train
ML871,Cut Chemist,Spoon,relaxed,train
ML499,Luther Vandross,I'd Rather,relaxed,train
ML1509,Queens Of The Stone Age,Feel Good Hit Of The Summer,happy,train
ML1397,Anthrax,A.I.R.,angry,train
ML1249,Joni Mitchell,Shine,relaxed,train
ML1992,Static-X,No Submission,angry,train
ML419,Marilyn Manson,A Place In The Dirt,sad,train
ML452,"""Weird Al"" Yankovic",Christmas At Ground Zero,happy,train
ML822,Celtic Woman,Over The Rainbow,relaxed,train
ML439,Shania Twain,I'm Gonna Getcha Good!,happy,train
ML1584,Böhse Onkelz,"Bin ich nur glücklich, wenn es schmerzt",sad,train
ML677,Amel Larrieux,Weather,relaxed,train
ML1987,Turin Brakes,Future Boy,relaxed,train
ML365,Scissor Sisters,Take Your Mama,happy,train
ML472,Bob Dylan,Gotta Serve Somebody,relaxed,train
ML1118,Sophie Milman,Back Home To Me,relaxed,train
ML1486,We Are Scientists,What's The Word,angry,train
ML642,Jane Monheit,Detour Ahead,relaxed,train
ML1616,Andrew Bird,Armchairs,relaxed,train
ML526,Rage Against the Machine,Sleep Now in the Fire,angry,train
ML1912,Slayer,Ghosts Of War,angry,train
ML1577,Pato Fu,30.000 Pés,relaxed,train
ML501,Rocco DeLuca & The Burden,Gift,sad,train
ML319,My Bloody Valentine,Nothing Much to Lose,sad,train
ML1288,Rage Against the Machine,Pistol Grip Pump,angry,train
ML1524,Blink 182,Adam's Song,angry,train
ML1498,Jamie Lidell,Multiply,happy,train
ML1187,Yardbirds,I'm a Man,angry,train
ML149,Black Sabbath,Sabbath Bloody Sabbath,angry,train
ML1612,José González,Stay In The Shade,relaxed,train
ML73,Slayer,Spiritual Law,angry,train
ML788,Vienna Teng,Green Island Serenade,relaxed,train
ML1676,Deee-Lite,Groove Is In The Heart,happy,train
ML244,Goldfrapp,Lovely 2 C U,happy,train
ML1488,Anaal Nathrakh,The Destroying Angel,angry,train
ML742,Guns N Roses,Mr. Brownstone,angry,train
ML7,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,angry,train
ML463,Sarah Blasko,For You,relaxed,train
ML1771,Sondre Lerche,To Be Surprised,happy,train
ML565,Sparta,Echodyne Harmonic,relaxed,train
ML1197,Ozzy Osbourne,Gets Me Through,angry,train
ML1430,Celtic Woman,The Sky And The Dawn And The Sun,relaxed,train
ML1681,Curtis Mayfield,Future Shock,angry,train
ML1895,Venom,Warhead,angry,train
ML940,Cake,Pretty Pink Ribbon,happy,train
ML1361,Deep Forest,Forest Hymn,relaxed,train
ML1890,Juana Molina,La Verdad,relaxed,train
ML315,Brooks & Dunn,Neon Moon,sad,train
ML1914,India.Arie,The Truth,relaxed,train
ML831,The Rocket Summer,Hold It Up,happy,train
ML1496,Harry Belafonte,Jump in the Line,happy,train
ML770,India.Arie,God Is Real,relaxed,train
ML13,Garbage,Silence Is Golden,angry,train
ML1531,Chris Garneau,Things She Said,sad,train
ML1740,Slayer,Hate Worldwide,angry,train
ML991,Kaskade,Your Love Is Black,sad,train
ML574,Diary of Dreams,Tears of Laughter,sad,train
ML1900,Christina Aguilera,Hurt,angry,train
ML1794,American Music Club,The Confidential Agent,sad,train
ML1415,Dianne Reeves,One For My Baby,relaxed,train
ML32,Lamb,Written,relaxed,train
ML532,Joe Nichols,Tequila Makes Her Clothes Fall Off,happy,train
ML234,New York Dolls,Personality Crisis,angry,train
ML198,Ricky Martin,Livin' La Vida Loca,happy,train
ML679,Love Is All,Make Out Fall Out Make Up,sad,train
ML1227,Ricky Martin,She Bangs,happy,train
ML1824,Sibylle Baier,Girl,relaxed,train
ML764,The Black Dahlia Murder,Miasma,angry,train
ML251,Throwing Muses,Counting Backwards,angry,train
ML487,In Flames,Swim,happy,train
ML190,Queensryche,The Needle Lies,angry,train
ML376,Secondhand Serenade,End,sad,train
ML605,Gwen Stefani,Wind It Up,happy,train
ML1299,The Cure,Out Of This World,sad,train
ML1825,Ice Cube,Endangered Species (Tales From the Darkside),angry,train
ML1069,L7,Shitlist,angry,train
ML772,Frankie Valli,Grease,happy,train
ML981,Róisín Murphy,Primitive,happy,train
ML1766,We Are The Fallen,Tear The World Down,sad,train
ML851,Lene Marlin,Unforgivable Sinner,sad,train
ML392,The Faint,Paranoiattack,happy,train
ML368,Bruce Hornsby,Fields Of Gray,relaxed,train
ML397,Foo Fighters,"Cheer Up, Boys (Your Make Up Is Running)",happy,train
ML1888,Gillian Welch,By The Mark,relaxed,train
ML1623,Mazzy Star,Free,relaxed,train
ML300,Lene Marlin,Disguise,relaxed,train
ML181,Jane Monheit,More Than You Know,relaxed,train
ML345,Espers,Meadow,relaxed,train
ML976,Spice Girls,Love Thing,happy,train
ML1920,Dwele,Find A Way,relaxed,train
ML1579,Hawk Nelson,Everything You Ever Wanted,sad,train
ML614,Supergrass,Brecon Beacons,happy,train
ML547,Celtic Woman,The Wexford Carol,relaxed,train
ML1467,Gwen Stefani,Rich Girl,happy,train
ML850,Mastodon,Siberian Divide,angry,train
ML1207,Sepultura,Dead Embryonic Cells,angry,train
ML385,Idlewild,A Modern Way Of Letting Go,angry,train
ML1604,Brother Ali,Walking Away,sad,train
ML82,Good Charlotte,Girls & Boys,happy,train
ML1984,Mortal Love,All The Beauty,sad,train
ML1937,Cut Off Your Hands,Oh Girl,happy,train
ML1717,God Module,Sections,sad,train
ML1477,The Ruts,Babylon's Burning,angry,train
ML549,Sade,Babyfather,relaxed,train
ML1982,Calvin Harris,Disco Heat,happy,train
ML1067,Neko Case,The Tigers Have Spoken,sad,train
ML203,Violent Femmes,I Know It's True but I'm Sorry to Say,sad,train
ML676,Justin Timberlake,Like I Love You,happy,train
ML455,Skinny Puppy,Assimilate,angry,train
ML1853,Jean Grae,My Story,sad,train
ML1883,Nine Inch Nails,Something I Can Never Have,sad,train
ML1494,Leonard Cohen,Teachers,sad,train
ML150,AC/DC,Flick of the Switch,angry,train
ML206,Anthrax,Potters Field,angry,train
ML1206,Silverchair,Spawn Again,angry,train
ML266,De-Phazz,Belle de Jour,relaxed,train
ML752,Sick Puppies,You're Going Down,angry,train
ML36,Stephen Lynch,Country Love Song,happy,train
ML1393,Bone Thugs-N-Harmony,Weed Song,relaxed,train
ML952,Jens Lekman,Friday Night at the Drive-In Bingo,happy,train
ML1576,Carbon Leaf,Changeless,relaxed,train
ML1571,Boney James,In The Rain ,relaxed,train
ML16,50 Cent,My Gun Go Off,angry,train
ML1960,Triumph the Insult Comic Dog,I Keed (Album Version),happy,train
ML247,Tarkan,Simarik,happy,train
ML563,Marilyn Manson,Irresponsible Hate Anthem,angry,train
ML1787,Okkervil River,It Ends With a Fall,sad,train
ML461,Dead Kennedys,Your Emotions,angry,train
ML1223,The Wiseguys,Ooh La La,happy,train
ML1639,We Are The Fallen,I Am Only One,sad,train
ML1493,Diamanda Galás,Free Among the Dead,angry,train
ML1117,Japan,Obscure Alternatives,sad,train
ML922,Yael Naïm,Too Long,relaxed,train
ML276,Sara Gazarek,You Got By,relaxed,train
ML194,K's Choice,If You're Not Scared,sad,train
ML690,Village People,In the Navy,happy,train
ML1251,The Cure,Three Imaginary Boys,sad,train
ML793,A Perfect Circle,People Are People,relaxed,train
ML830,Shout Out Louds,Never Ever,happy,train
ML1417,Red House Painters,Medicine Bottle,sad,train
ML761,Joan Baez,The Night They Drove Old Dixie Down,sad,train
ML1038,Nine Inch Nails,March Of The Pigs,angry,train
ML1963,Jamie Cullum,These Are The Days,relaxed,train
ML128,Guided by Voices,Don't Stop Now,sad,train
ML1594,Slayer,Flesh Storm,angry,train
ML1390,Ice Cube,How to Survive in South Central,angry,train
ML791,The Organ,There Is Nothing I Can Do,sad,train
ML998,Bauhaus,Slice Of Life,sad,train
ML1718,Dawn Landes,You Alone,sad,train
ML367,Radiohead,Fitter Happier,sad,train
ML1440,Kiss,Black Diamond,happy,train
ML1795,Minnie Riperton,Memory Lane,relaxed,train
ML658,Spahn Ranch,The Conversation,sad,train
ML654,Megadeth,Blood of Heroes,angry,train
ML806,Megadeth,Vortex,angry,train
ML1084,Lucie Silvas,Nothing Else Matters,sad,train
ML1686,Cyndi Lauper,I Drove All Night,happy,train
ML336,Bananarama,Cruel Summer,happy,train
ML887,Ice Cube,Wicked,angry,train
ML1815,Sophie Ellis-Bextor,Can't Have It All,sad,train
ML89,Shania Twain,Man! I Feel Like A Woman!,happy,train
ML607,Reel Big Fish,Ban The Tube Top,happy,train
ML1595,Limp Bizkit,Nookie,angry,train
ML489,Jack Johnson,Constellations,relaxed,train
ML1461,Mayer Hawthorne,A Strange Arrangement,relaxed,train
ML1831,Paris Hilton,Fightin' Over Me ,happy,train
ML459,AC/DC,Down Payment Blues,angry,train
ML1561,Dope,Die Motherfucker Die,angry,train
ML732,Sun Kil Moon,Neverending Math Equation,relaxed,train
ML588,Ben Folds Five,Cigarette,sad,train
ML295,Rufus Wainwright,11:11,relaxed,train
ML347,Motörhead,Orgasmatron,angry,train
ML907,Ween,Monique the Freak,happy,train
ML1578,Remy Shand,Take A Message,relaxed,train
ML1188,Teddy Geiger,Gentlemen,relaxed,train
ML1976,R.E.M.,Moon River,sad,train
ML874,Jefferson Starship,Miracles,relaxed,train
ML857,The Dresden Dolls,Girl Anachronism,angry,train
ML20,The Streets,Never Went to Church,sad,train
ML1088,Boards of Canada,Aquarius,relaxed,train
ML1318,Lisa Ekdahl,Only You,relaxed,train
ML78,Loverboy,Hot Girls In Love,happy,train
ML199,Soundgarden,Limo Wreck,sad,train
ML301,Faithless,One Step Too Far,relaxed,train
ML1852,Dirty Sanchez,Dig It,happy,train
ML161,Anthrax,Among the Living,angry,train
ML456,Hope of the States,Me Ves Y Sufres,sad,train
ML1770,Mando Diao,You Can't Steal My Love,happy,train
ML1624,Monster Magnet,Powertrip,angry,train
ML331,Little River Band,Reminiscing,relaxed,train
ML1105,Otep,T.R.I.C.,angry,train
ML1675,The Mars Volta,Roulette Dares (The Haunt Of),angry,train
ML1573,The Black Ghosts,Full Moon,relaxed,train
ML393,Megadeth,Countdown to Extinction,angry,train
ML1476,M83,She Stands Up,relaxed,train
ML829,Ida Maria,Louie,happy,train
ML362,The Black Keys,Your Touch,happy,train
ML103,Reel 2 Real,I Like to Move It,happy,train
ML1607,KC And The Sunshine Band,Get Down Tonight,happy,train
ML1843,Patti LaBelle,New Day,relaxed,train
ML776,Scissor Sisters,She's My Man,happy,train
ML833,The Coral,Shadows Fall,happy,train
ML1919,Mohombi,Bumpy Ride,happy,train
ML413,Abba,Thank You For The Music,happy,train
ML722,Rasputina,Watch T.V.,sad,train
ML635,Tindersticks,Walking,sad,train
ML985,ERA,Cathar Rhythm,relaxed,train
ML692,Britney Spears,Brave New Girl,happy,train
ML534,Beach House,House on the Hill,relaxed,train
ML1739,Jarvis Cocker,Running The World,angry,train
ML164,As I Lay Dying,An Ocean Between Us,angry,train
ML845,Marilyn Manson,Little Horn,angry,train
ML689,Slayer,Piece by Piece,angry,train
ML92,Angie Stone,U-Haul,relaxed,train
ML1586,Dr. Hook,Sylvia's Mother,sad,train
ML820,Korn,Thoughtless,angry,train
ML775,Kelis,Caught Out There,angry,train
ML299,Haley Bonar,Blue Ridge Mountains,relaxed,train
ML1923,Marilyn Manson,Misery Machine,angry,train
ML145,Sarah Blasko,The Woman By The Well,relaxed,train
ML1660,Tool,Intolerance,angry,train
ML277,The Black Crowes,Walk Believer Walk,happy,train
ML444,Laura Marling,Your Only Doll (Dora),relaxed,train
ML1128,Nick Cave and the Bad Seeds,Where Do We Go Now But Nowhere,sad,train
ML938,Gary Numan,Rip,sad,train
ML248,Juanes,Nada Valgo Sin Tu Amor,happy,train
ML243,Amber Pacific,Poetically Pathetic (Acoustic),sad,train
ML602,Brain Drill,Revelation,angry,train
ML1777,DIR EN GREY,鼓動,sad,train
ML1958,Richard Hell & the Voidoids,Love Comes in Spurts,angry,train
ML141,of Montreal,Touched Something's Hollow,sad,train
ML1875,Ensiferum,Slayer Of Light,angry,train
ML1878,Devin Townsend,Bad Devil,angry,train
ML1011,Guns N' Roses,This I Love,sad,train
ML901,Anberlin,Hello Alone,angry,train
ML651,Rihanna,Breakin' Dishes,angry,train
ML1302,Seu Jorge,Rebel Rebel,relaxed,train
ML666,Burzum,Dunkelheit,sad,train
ML750,A Tribe Called Quest,1nce Again,relaxed,train
ML556,Vanessa Carlton,More Than This,relaxed,train
ML1939,Zeromancer,Houses of Cards,sad,train
ML691,Deep Dish,Flashdance,happy,train
ML1030,K's Choice,Another Year,sad,train
ML804,Lily Holbrook,Welcome to the Slaughterhouse,sad,train
ML90,Björn Rosenström,Mamma,happy,train
ML858,Scars of life,Bullet with your name,angry,train
ML144,Mickey & Sylvia,Love Is Strange,happy,train
ML568,Cowboy Junkies,Lay It Down,relaxed,train
ML1133,Survivor,Eye of the Tiger,angry,train
ML1954,The Maine,The Way We Talk,happy,train
ML1462,Destroyer,Foam Hands,sad,train
ML1298,The Jets,Make It Real,sad,train
ML1974,The Crazy World of Arthur Brown,Fire,angry,train
ML567,Motorhead,Ace of Spades,angry,train
ML1951,David Sanborn,Try A Little Tenderness,relaxed,train
ML313,Beatallica,And I'm Evil,happy,train
ML80,The Foreshadowing,The Wandering,sad,train
ML1214,Patty Griffin,Heavenly Day,relaxed,train
ML396,Toni Basil,Mickey,happy,train
ML1650,No Doubt,Rock Steady,relaxed,train
ML369,Counting Crows,St. Robinson In His Cadillac Dream,relaxed,train
ML688,Britney Spears,Ooh Ooh Baby,happy,train
ML483,Donald Fagen,Morph The Cat,relaxed,train
ML1949,Anathema,Far Away,sad,train
ML531,Radiohead,We Suck Young Blood,sad,train
ML856,John Lennon,I Found Out,angry,train
ML1521,Billy Talent,Pins and Needles,sad,train
ML381,Ace of Base,Don't Turn Around,happy,train
ML1715,Westlife,Uptown Girl,happy,train
ML1582,Little Brother,Nighttime Maneuvers,relaxed,train
ML592,Peaches,Shake Yer Dix,happy,train
ML1410,Yo La Tengo,Black Flowers,relaxed,train
ML281,The Sisters Of Mercy,Under the Gun,sad,train
ML1881,Muse,Yes Please,angry,train
ML785,Mark Kozelek,Bad Boy Boogie,sad,train
ML1997,Prince,"Beautiful, Loved and Blessed",relaxed,train
ML659,Common,Faithful,relaxed,train
ML1804,David Holmes,Gritty Shaker,happy,train
ML1428,Evanescence,Haunted,sad,train
ML328,Tim Buckley,Morning Glory,sad,train
ML1609,Air,New Star in the Sky,relaxed,train
ML576,Gwen Stefani,Hollaback Girl,happy,train
ML1469,Slayer,Here Comes the Pain,angry,train
ML1668,Tracey Thorn,A-Z,sad,train
ML1066,Mortiis,Everyone Leaves,sad,train
ML1915,Neutral Milk Hotel,April 8th,sad,train
ML1600,Grace Jones,I'm Crying (Mother's Tears),sad,train
ML1203,Powderfinger,My Kind Of Scene,relaxed,train
ML8,Emerson Hart,If You're Gonna Leave,sad,train
ML864,Ron Sexsmith,Snow Angel,relaxed,train
ML1690,Lady Gaga,Teeth,happy,train
ML1823,Narsilion,A Night in Fairyland,relaxed,train
ML1856,Todd Rundgren,Bang The Drum All Day,happy,train
ML1106,Pat Monahan,Her Eyes,happy,train
ML343,José González,Lovestain,relaxed,train
ML1788,Anathallo,Kasa No Hone (the umbrella's bones),relaxed,train
ML1158,Ice-T,O.G. Original Gangster,angry,train
ML1284,Slayer,Crypts of Eternity,angry,train
ML627,Touch and Go,Would You...?,happy,train
ML1338,Question Mark & The Mysterians,96 Tears,angry,train
ML273,Ida Maria,I Like You So Much Better When You're Naked,happy,train
ML1855,Todd Rundgren,Song of the Viking,happy,train
ML1844,Karen O and the Kids,Rumpus,happy,train
ML1032,White Town,Your Woman,happy,train
ML950,Jane Monheit,Over The Rainbow,relaxed,train
ML1760,Grand National,Peanut Dreams,relaxed,train
ML707,S Club 7,Bring It All Back,happy,train
ML1956,Howie Day,Numbness For Sound,sad,train
ML344,Corinne Bailey Rae,I Would Like To Call It Beauty,relaxed,train
ML1896,The Alan Parsons Project,The Cask Of Amontillado,sad,train
ML903,Great Big Sea,Captain Wedderburn,relaxed,train
ML1060,The Tokens,The Lion Sleeps Tonight,happy,train
ML1130,Lit,Miserable,sad,train
ML1993,Primordial,Gallows Hymn,sad,train
ML182,Rage Against the Machine,How I Could Just Kill A Man,angry,train
ML138,Atlas Sound,River Card,relaxed,train
ML1220,Edyta Górniak,Soul Boy,relaxed,train
ML929,Acid Bath,Toubabo Koomi,angry,train
ML1953,Bodo Wartke,Ich trau mich nicht,happy,train
ML1614,Dubstar,St. Swithin's Day,relaxed,train
ML1615,Ween,Voodoo Lady,happy,train
ML753,The Fratellis,Vince The Loveable Stoner,happy,train
ML649,Ministry,Just One Fix,angry,train
ML1045,George Michael,Freeek! '04,happy,train
ML391,Tim Buckley,Dolphins,sad,train
ML1502,The Pierces,Lights On,happy,train
ML1162,Mark Lanegan,Kingdoms Of Rain,sad,train
ML898,The Mamas & The Papas,Words Of Love,relaxed,train
ML1871,Jesu,Silver,sad,train
ML902,U2,A Man And A Woman,happy,train
ML178,Enzo Jannacci,Ho Visto Un Re,happy,train
ML888,Delta Goodrem,Fragile,sad,train
ML475,Spiritualized,Let It Flow,relaxed,train
ML409,The Cure,One Hundred Years,sad,train
ML117,Dream Theater,The Enemy Inside,angry,train
ML716,Keren Ann,In Your Back,relaxed,train
ML152,Sepultura,Territory,angry,train
ML321,System of a Down,Chop Suey!,angry,train
ML132,Stephen Lynch,For The Ladies,happy,train
ML1357,Emily Jane White,The Demon,sad,train
ML366,Noir Désir,7 Minutes,angry,train
ML817,Jazzanova,Look What You're Doin' To Me,relaxed,train
ML522,Anthrax,This Is Not an Exit,angry,train
ML272,Scissor Sisters,Laura,happy,train
ML1327,Apostle of Hustle,Animal Fat,relaxed,train
ML867,The Pierces,Boy in a Rock and Roll Band,happy,train
ML85,The Jam,Bricks And Mortar,angry,train
ML1534,Panzer AG,Filth God,angry,train
ML292,The Jacksons,This Place Hotel,sad,train
ML1833,Black Flag,Jealous Again,angry,train
ML302,Ayreon,Day One: Vigil,sad,train
ML671,Anthony David,Something About You,relaxed,train
ML536,Apocalyptica,Bittersweet,sad,train
ML1666,Abra Moore,Sorry,relaxed,train
ML1535,Green Day,Platypus,angry,train
ML687,Anthrax,Bring the Noise,angry,train
ML1522,Megadeth,Crush 'Em,angry,train
ML1475,Scandinavian Music Group,Ilman sinua olen lyijyä,sad,train
ML1630,JC Chasez,Dear Goodbye,sad,train
ML405,Sam Sparro,Pocket,happy,train
ML418,Magnet,Overjoyed,relaxed,train
ML978,Rammstein,Benzin,angry,train
ML410,Faunts,Gone With The Day,relaxed,train
ML100,Queen,Crazy Little Thing Called Love,happy,train
ML322,Antimatter,The Freak Show,sad,train
ML582,The Cat Empire,The Wine Song,happy,train
ML1233,Lil' Kim,Magic Stick ,happy,train
ML745,Saybia,Guardian Angel,sad,train
ML778,Matt Wertz,Like The Last Time,relaxed,train
ML84,Saybia,The One For You,sad,train
ML1972,"""Weird Al"" Yankovic",Polkas On 45,happy,train
ML1735,NOFX,Murder The Government,angry,train
ML1950,The Velvet Underground,Sunday Morning,relaxed,train
ML1882,Scissor Sisters,Filthy/Gorgeous,happy,train
ML1229,The Contours,Do You Love Me,happy,train
ML951,Donald Fagen,The Great Pagoda Of Funn,relaxed,train
ML1929,Ben Folds Five,Brick,sad,train
ML1110,Kings Of Convenience,Know-How,relaxed,train
ML591,Incognito,Everybody Loves The Sunshine,relaxed,train
ML1901,The Stooges,T.V. Eye,angry,train
ML1634,Alanis Morissette,All I Really Want,angry,train
ML684,R. Kelly & Public Announcement,She's Got That Vibe,happy,train
ML1709,The Byrds,He Was A Friend Of Mine,sad,train
ML1101,Rage Against the Machine,Know Your Enemy,angry,train
ML1491,Blue Oyster Cult,Godzilla,angry,train
ML670,Dead Boys,Sonic Reducer,angry,train
ML1773,Atari Teenage Riot,Too Dead for Me,angry,train
ML584,Tom Petty And The Heartbreakers,The Dark Of the Sun,relaxed,train
ML502,Pig Destroyer,Piss Angel,angry,train
ML458,The White Stripes,My Doorbell,happy,train
ML782,Tindersticks,Travelling Light,sad,train
ML282,Audio Bullys,Get Myself on Track,sad,train
ML1765,Queen,Flash,happy,train
ML1552,Free,All Right Now,happy,train
ML1274,Hole,Reasons To Be Beautiful,sad,train
ML237,Diamanda Galás,Deliver Me From Mine Enemies,angry,train
ML897,Man Man,Feathers,sad,train
ML464,Yelle,Je Veux Te Voir (Club-Club Version),happy,train
ML1743,Police,Can't Stand Losing You,angry,train
ML1356,Papas Fritas,Way You Walk,happy,train
ML1312,At The Drive-In,Cosmonaut,angry,train
ML271,Delays,Touch Down,relaxed,train
ML106,Kanye West,We Don't Care,happy,train
ML754,Flowing Tears,Lovesong For A Dead Child,sad,train
ML1004,Evan Rachel Wood,Hold Me Tight,happy,train
ML1365,Skinny Puppy,Candle,sad,train
ML12,The Tallest Man on Earth,Love Is All,sad,train
ML1389,Portishead,Magic Doors,sad,train
ML249,Lupe Fiasco,"Kick, Push",relaxed,train
ML779,Ella Fitzgerald,Solitude ,relaxed,train
ML435,Marillion,The Invisible Man,sad,train
ML135,DMX,We in Here,angry,train
ML1626,Crippled Black Phoenix,Burnt Reynolds,sad,train
ML1513,Louis Armstrong,Nobody Knows The Trouble I've Seen,sad,train
ML225,The Blackbyrds,Walking In Rhythm,happy,train
ML1651,Tori Amos,Tombigbee,angry,train
ML529,Lenny Kravitz,Can We Find A Reason?,sad,train
ML304,Lucinda Williams,Greenville,sad,train
ML843,Thousand Foot Krutch,Favorite Disease,sad,train
ML1898,Dierks Bentley,What Was I Thinkin',happy,train
ML932,Florence + The Machine,Blinding,sad,train
ML380,Basement Jaxx,Cish Cash ,happy,train
ML1851,Rage Against the Machine,In My Eyes,angry,train
ML1726,Barry Mann,Who Put The Bomp ,happy,train
ML131,DJ Sammy,The Boys Of Summer,happy,train
ML757,Buster Poindexter,Hot Hot Hot,happy,train
ML1336,Kool & The Gang,Summer Madness,relaxed,train
ML139,Tiger Lou,The Wake/Hooray Hooray,relaxed,train
ML440,Stevie Wonder,Part-Time Lover,happy,train
ML375,Saliva,Back Into Your System,relaxed,train
ML723,Eminem,My Name Is,happy,train
ML908,Adverts,Gary Gilmore's Eyes,angry,train
ML283,Porcupine Tree,The Sleep of No Dreaming,sad,train
ML1341,João Gilberto,Samba Da Minha Terra,relaxed,train
ML1894,Air,Cherry Blossom Girl (Radio Mix),relaxed,train
ML357,Mae,Sun (acoustic),relaxed,train
ML314,Korn,Chi,angry,train
ML1621,Red House Painters,San Geronimo,sad,train
ML1264,blink-182,Aliens Exist,happy,train
ML104,Kelly Clarkson,Already Gone,sad,train
ML1748,Enigma,Callas Went Away,relaxed,train
ML604,Grace Jones,Pull Up To The Bumper,happy,train
ML1796,Gary Numan,One Perfect Lie,sad,train
ML1610,Children of Bodom,Hatebreeder,angry,train
ML1090,Doug Stone,I'd Be Better Off (In A Pine Box),sad,train
ML1333,Janina,Nachts um halb drei,happy,train
ML1424,KMFDM,Don't Blow Your Top,angry,train
ML1391,Ricky Martin,La Bomba,happy,train
ML1131,Azam Ali,From Heaven to Dust,relaxed,train
ML1560,The Fall,Middle Class Revolt,angry,train
ML111,Mudvayne,Dig,angry,train
ML1934,Ryan Adams,This House Is Not For Sale,relaxed,train
ML559,Enya,Water Shows the Hidden Heart,relaxed,train
ML1081,Holly Brook,Saturdays,relaxed,train
ML1464,Thirteen Senses,Undivided,sad,train
ML1540,The Gathering,Golden Grounds,sad,train
ML1910,ATB,Marrakech,relaxed,train
ML94,Katie Melua,If The Lights Go Out,relaxed,train
ML1511,Maps,Glory Verse,relaxed,train
ML263,Pixies,Gigantic,happy,train
ML1541,Anouk,For Bitter Or Worse,sad,train
ML1109,Marilyn Manson,Burning Flag,angry,train
ML303,Rainbow,Catch The Rainbow,sad,train
ML1454,Eftos,Hyaluron,angry,train
ML828,Machine Head,"The Blood, the Sweat, the Tears",angry,train
ML1750,Katatonia,Leaders,sad,train
ML490,Low,Bright,sad,train
ML960,Squarepusher,A Real Woman,happy,train
ML488,Tom Lehrer,I Wanna Go Back To Dixie,happy,train
ML644,Mobb Deep,Survival of the Fittest,angry,train
ML1854,The Mars Volta,Inertiatic Esp,angry,train
