index,artist,title,mood,split
ML777,The Innocence Mission,Lake Shore Drive,relaxed,train
ML703,Fleet Foxes,Blue Ridge Mountains,relaxed,train
ML1225,Saosin,It's So Simple,angry,train
ML1196,System of a Down,Prison Song,angry,train
ML46,Ulrich Schnauss,Wherever You Are,relaxed,train
ML1404,Meryl Streep,The Winner Takes It All,sad,train
ML352,Megadeth,Washington Is Next!,angry,train
ML1160,D'Angelo,Africa,relaxed,train
ML40,Hooverphonic,The Magnificent Tree,relaxed,train
ML1832,The Smiths,What Difference Does It Make?,sad,train
ML1445,Unbelievable Truth,Dune Sea,sad,train
ML1000,Bowling For Soup,Almost,happy,train
ML1374,Nick Cave and the Bad Seeds,Lovely Creature,sad,train
ML137,Maria Taylor,Two Of Those Too (Album Version),relaxed,train
ML818,Wir sind Helden,Darf Ich Das Behalten,sad,train
ML174,Britney Spears,If U Seek Amy,happy,train
ML208,Chevelle,The Red,angry,train
ML123,Jack Johnson,"They Do, They Don't",relaxed,train
ML920,Al Green,Let's Get Married,relaxed,train
ML1932,DIR EN GREY,GRIEF,angry,train
ML1998,Deine Lakaien,The Game,sad,train
ML407,Fischerspooner,Tone Poem,relaxed,train
ML1587,Eminem,Soldier,angry,train
ML1799,Steely Dan,Things I Miss The Most,relaxed,train
ML862,Stevie Wonder,Love Light In Flight,happy,train
ML1089,Metallica,Phantom Lord,angry,train
ML1908,Diary of Dreams,Portrait Of A Cynic,sad,train
ML126,The Saturdays,Fall,sad,train
ML566,The Champs,Tequila,happy,train
ML1585,Enigma,Return to Innocence,relaxed,train
ML637,Howlin' Wolf,Smokestack Lightning,angry,train
ML1655,Immortal Technique,The 4th Branch,angry,train
ML157,The Supremes,Love Is Like An Itching In My Heart,happy,train
ML718,Art Brut,Modern Art,happy,train
ML1111,Enya,Oíche Chiúin (Silent Night),relaxed,train
ML1409,The Hoosiers,Worst Case Scenario,happy,train
ML641,The Hoosiers,Cops and Robbers,happy,train
ML188,Scissor Sisters,Lights,happy,train
ML578,Peaches,Downtown,happy,train
ML256,Maria Mena,Monday Morning,relaxed,train
ML1603,Kayo Dot,Immortelle and Paper Caravelle,relaxed,train
ML838,The Mountain Goats,So Desperate,sad,train
ML564,The Puppini Sisters,Soho Nights,happy,train
ML562,Dope,Everything Sucks,angry,train
ML1809,Cake,Where Would I Be?,sad,train
ML1053,Ben Folds,Rockin' The Suburbs,happy,train
ML1505,The Cinematic Orchestra,Burn Out,relaxed,train
ML1183,Busted,Year 3000,happy,train
ML514,Barry White,"Honey Please, Can't Ya See",happy,train
ML382,Nerf Herder,High School,happy,train
ML1439,Lykke Li,Sadness Is A Blessing,sad,train
ML751,Stevie Wonder,Ribbon In The Sky,relaxed,train
ML1669,Björk,Army Of Me,angry,train
ML1375,Wu-Tang Clan,Impossible,sad,train
ML628,Britney Spears,Anticipating,happy,train
ML1700,Tupac Shakur,Fuck the World,angry,train
ML1714,Mando Diao,Clean Town,happy,train
ML169,Shakira,Un Poco De Amor,happy,train
ML928,My Dying Bride,My Wine in Silence,sad,train
ML1613,The New Pornographers,Star Bodies,happy,train
ML97,U2,Sunday Bloody Sunday,angry,train
ML453,Marius Müller-Westernhagen,Johnny W.,sad,train
ML1646,John Denver,Grandma's Feather Bed,happy,train
ML1663,Will Young,Who Am I,sad,train
ML1849,Natasha Bedingfield,I Wanna Have Your Babies,happy,train
ML430,My Dying Bride,A Doomed Lover,sad,train
ML1911,Death Cab For Cutie,Soul Meets Body (Rolling Stone Original),relaxed,train
ML698,Arcade Fire,Black Mirror,sad,train
ML954,Mýa,Now or Never,happy,train
ML415,The Cyrkle,The Visit (She Was Here),relaxed,train
ML524,The Black Heart Procession,The Invitation,sad,train
ML1720,Beth Rowley,Angel Flying Too Close To The Ground,sad,train
ML1924,Titus Andronicus,Arms Against Atrophy,angry,train
ML1772,The Most Serene Republic,Proposition 61,relaxed,train
ML52,Fourplay,Fields Of Gold,relaxed,train
ML661,The Coral,She's Got A Reason,relaxed,train
ML737,Sleeper,Lie Detector,happy,train
ML697,Marilyn Manson,Great Big White World,sad,train
ML1210,Black Sabbath,Lonely Is The Word,sad,train
ML1507,Stina Nordenstam,The End of a Love Affair,sad,train
ML1927,Lisa Ekdahl,Öppna Upp Ditt Fönster,happy,train
ML1178,ElectroVamp,Drinks Taste Better When They're Free,happy,train
ML1784,You Love Her Coz She's Dead,Superheroes,angry,train
ML1918,High On Fire,The Face of Oblivion,angry,train
ML1144,Atari Teenage Riot,Revolution Action,angry,train
ML535,Bloodhound Gang,You're Pretty When I'm Drunk,happy,train
ML230,Slayer,Spirit in Black,angry,train
ML1830,David Bowie,Afraid,sad,train
ML1297,Jesus & Mary Chain,Blues from a Gun,angry,train
ML696,Tindersticks,Piano Song,sad,train
ML189,Lenny Kravitz,Will You Marry Me,happy,train
ML1444,Beyoncé,Listen,sad,train
ML664,Lamb of God,Redneck,angry,train
ML1722,Marilyn Manson,Man That You Fear,angry,train
ML469,Exploited,Exploited Barmy Army,angry,train
ML1146,"Lipps, Inc.",Funkytown,happy,train
ML467,Murderdolls,Dead in Hollywood,angry,train
ML1921,Ray Charles,What'd I Say,happy,train
ML1751,Hot Chip,In The Privacy Of Our Love,relaxed,train
ML175,O-Zone,Dragostea Din Tei,happy,train
ML341,Slayer,Sex. Murder. Art.,angry,train
ML1979,Robert Plant,Satan Your Kingdom Must Come Down,relaxed,train
ML372,Vanessa Carlton,Rinse,sad,train
ML665,The Haunted,99,angry,train
ML21,Geto Boys,Chuckie,angry,train
ML709,The Chemical Brothers,Left Right,angry,train
ML869,Bloodhound Gang,Kiss Me Where It Smells Funny,happy,train
ML1265,Demon Hunter,Deteriorate,sad,train
ML667,A Silver Mt. Zion,Microphones in the Trees,sad,train
ML1242,Ella Fitzgerald,In A Mellow Tone,relaxed,train
ML93,The Pipettes,Dirty Mind,happy,train
ML1166,Lonnie Donegan,My Old Man's A Dustman,happy,train
ML1372,Simon & Garfunkel,Patterns,relaxed,train
ML1172,Duran Duran,Hungry Like The Wolf,happy,train
ML1141,The Pussycat Dolls,Buttons,happy,train
ML808,Relient K,The Pirates Who Don't Do Anything,happy,train
ML710,Antimatter,Ghosts,sad,train
ML1636,Dan Le Sac vs Scroobius Pip,Look For The Woman,sad,train
ML1262,The Proclaimers,Letter From America,relaxed,train
ML373,New Radicals,I Don't Wanna Die Anymore,sad,train
ML1001,Alien Ant Farm,Glow,happy,train
ML136,Jaromír Nohavica,Ještě mi scházíš,sad,train
ML1287,Quiet Riot,Bang Your Head (Metal Health),angry,train
ML1098,Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing Ta F' Wit,angry,train
ML762,Melanie C,Carolyna,sad,train
ML449,Kris Kross,Jump,happy,train
ML1542,The Smashing Pumpkins,Rotten Apples,sad,train
ML1362,Siouxsie and the Banshees,Regal Zone,angry,train
ML1653,Eagle-Eye Cherry,Permanent Tears,relaxed,train
ML386,Anita Baker,My Funny Valentine,relaxed,train
ML1364,Swallow The Sun,The Justice of Suffering,sad,train
ML955,Atlantic Starr,If Your Heart Isn't In It,relaxed,train
ML1290,Donald Fagen,H Gang,relaxed,train
ML433,Cascada,What Do You Want From Me?,happy,train
ML96,Atari Teenage Riot,Deutschland (Has Gotta Die!),angry,train
ML1975,Juanes,Me Enamora,happy,train
ML571,Kinks,You Really Got Me,angry,train
ML1433,Moya Brennan,Change My World,relaxed,train
ML1427,Cara Dillon,Blue Mountain River,relaxed,train
ML800,Fountains Of Wayne,Stacy's Mom,happy,train
ML1936,SWV,You're The One,happy,train
ML1629,My Dying Bride,Black God,sad,train
ML840,Edison Lighthouse,Love Grows (Where My Rosemary Goes),happy,train
ML1989,Cavalera Conspiracy,Inflikted,angry,train
ML1519,Black Sabbath,The Writ,angry,train
ML1591,Moxy Früvous,I Love My Boss,happy,train
ML1973,Nine Inch Nails,"No, You Don't",angry,train
ML1380,Jenny Owen Youngs,Keys Out Lights On,relaxed,train
ML714,XTC,This Is Pop?,angry,train
ML500,Madredeus,O Pomar Das Laranjeiras,sad,train
ML10,Blondie,Heart of Glass,happy,train
ML1862,Death From Above 1979,Going Steady,happy,train
ML1278,Morrissey,There's A Place In Hell For Me And My Friends,sad,train
ML1680,Supreme Beings of Leisure,What's the Deal,relaxed,train
ML324,Brad Paisley,When I Get Where I'm Going,sad,train
ML868,Bruce Springsteen,War,angry,train
ML968,Relient K,Must Have Done Something Right,happy,train
ML1236,Bob Rivers,Who Put the Stump?,happy,train
ML1163,Jason Mraz,Unfold (Eagles Ballroom Live Version),relaxed,train
ML766,James Taylor,That Lonesome Road,sad,train
ML1797,Abba,Take A Chance On Me,happy,train
ML523,Iron & Wine,Peace Beneath the City,relaxed,train
ML936,Joni Mitchell,The Last Time I Saw Richard,sad,train
ML29,Salt The Wound,Better Than This,angry,train
ML506,Fotos,Katharina,sad,train
ML1015,Nevermore,All Play Dead,angry,train
ML544,Nightwish,Angels Fall First,sad,train
ML68,Nachtmahr,Feuer Frei!,angry,train
ML1028,Gary Numan,In A Dark Place,sad,train
ML970,Air,Sing Sang Sung,relaxed,train
ML1752,Stephen Lynch,Vanilla Ice Cream,happy,train
ML1170,Alela Diane,The Rifle,relaxed,train
ML398,Ice Cube,Ghetto Vet,angry,train
ML1947,Bon Jovi,Bad Medicine,happy,train
ML1695,Katatonia,Brave,sad,train
ML1281,Rammstein,Wo bist du,sad,train
ML728,Chris Botti,The Look Of Love,relaxed,train
ML1996,A Day To Remember,If It Means a Lot to You,sad,train
ML1165,Bullet For My Valentine,Scream Aim Fire,angry,train
ML1870,iLiKETRAiNS,The accident,sad,train
ML636,The Dillinger Escape Plan,Milk Lizard,angry,train
ML320,Rage Against the Machine,Wake Up,angry,train
ML285,Clannad,Newgrange,relaxed,train
ML518,Atlantic Starr,Silver Shadow,relaxed,train
ML1340,Fabrizio De André,Preghiera In Gennaio,sad,train
ML735,Martina McBride,Valentine,relaxed,train
ML47,Tom Lehrer,We Will All Go Together When We Go,happy,train
ML1926,Natalie Merchant,San Andreas Fault (Remastered LP Version),sad,train
ML1337,Animal Collective,Who Could Win a Rabbit,happy,train
ML434,Res,Let Love,relaxed,train
ML1733,Seether,Fade Away,sad,train
ML1917,Opeth,Heir Apparent,angry,train
ML1012,Venetian Snares,Dad,sad,train
ML446,JAY-Z,I Just Wanna Love U (Give It 2 Me),happy,train
ML1180,The Puppini Sisters,We Have All The Time In The World,happy,train
ML1108,Wesley Willis,I Wupped Batman's Ass,happy,train
ML1282,Weezer,Good Life,angry,train
ML1991,Limp Bizkit,Eat You Alive,angry,train
ML1473,Clap Your Hands Say Yeah,Upon This Tidal Wave of Young Blood,happy,train
ML589,The Sex Pistols,I Wanna Be Me,angry,train
ML573,The Cure,The Promise,angry,train
ML987,Yoko Ono,Kiss Kiss Kiss,happy,train
ML1729,Cradle of Filth,Filthy Little Secret,angry,train
ML1316,Cursive,Art Is Hard,angry,train
ML1150,Baccara,"Yes Sir, I Can Boogie",happy,train
ML1649,Beck,Qué Onda Guero,happy,train
ML1321,Anthrax,C11 H17 N2 O2 S Na,angry,train
ML1036,Wilco,What Light,relaxed,train
ML1326,Alice Cooper,Halo of Flies,angry,train
ML214,Pink Turns Blue,Your Master Is Calling,sad,train
ML811,Moonspell,Awake,sad,train
ML1120,Eighteen Visions,The Sweetest Memory,sad,train
ML1848,James Yuill,This Sweet Love,relaxed,train
ML358,AC/DC,Highway to Hell,angry,train
ML69,Stacey Kent,Bali Ha'i,relaxed,train
ML1182,Darren Hayes,Unlovable,sad,train
ML1420,The Duke Spirit,Love Is An Unfamiliar Name,happy,train
ML1277,Sondre Lerche,Side Two,relaxed,train
ML675,Fatboy Slim,Wonderful Night,happy,train
ML1608,Jack Johnson,Posters,relaxed,train
ML99,Metallica,Metal Militia,angry,train
ML1684,Junior Boys,Caught in a Wave,relaxed,train
ML330,The Rolling Stones,Can You Hear The Music,sad,train
ML1441,Hanne Hukkelberg,Balloon,relaxed,train
ML1250,Simply Red,Ev'ry Time We Say Goodbye,sad,train
ML1195,Alejandro Sanz,No es lo mismo,happy,train
ML1216,Peter Tosh,Legalize It,relaxed,train
ML246,His Name Is Alive,Are We Still Married?,sad,train
ML450,Mark Dinning,Teen Angel,sad,train
ML935,Estatic Fear,Chapter I,sad,train
ML875,Mad Caddies,Rockupation,happy,train
ML1967,Groove Coverage,She,happy,train
ML333,Voxtrot,Sway,sad,train
ML1506,Dope,Pig Society,angry,train
ML289,The Cure,Want,sad,train
ML925,James Blunt,High (live in Ireland),relaxed,train
ML1948,Cocteau Twins,Squeeze-Wax,relaxed,train
ML984,Undertones,Get Over You,angry,train
ML1647,LL Cool J,Mama Said Knock You Out,angry,train
ML351,Hole,Letter To God,sad,train
ML364,Dixie Chicks,Without You,sad,train
ML1403,Queens Of The Stone Age,Six Shooter,angry,train
ML1916,Isis,The Other,sad,train
ML1260,Black Sabbath,War Pigs,angry,train
ML1412,Katatonia,Don't Tell A Soul,sad,train
ML1834,The Oppressed,Victims,angry,train
ML309,Rage Against the Machine,Vietnow,angry,train
ML1099,Friendly Fires,Lovesick,happy,train
ML1169,Balligomingo,Escape,relaxed,train
ML1151,Trading Yesterday,One Day,relaxed,train
ML1048,Shpongle,Once Upon the Sea of Blissful Awareness,relaxed,train
ML630,Cult of Luna,Waiting For You,sad,train
ML220,The Gathering,These Good People,sad,train
ML1627,Sia,Little Black Sandals,relaxed,train
ML708,Kanye West,Coldest Winter,sad,train
ML1769,Kings of Leon,McFearless,angry,train
ML1248,Godsmack,I Fucking Hate You,angry,train
ML176,Ozzy Osbourne,Suicide Solution,angry,train
ML1114,The Dillinger Escape Plan,We Are the Storm,angry,train
ML997,Black Flag,Nervous Breakdown,angry,train
ML183,Jimi Hendrix Experience,Fire,angry,train
ML355,Dusty Springfield,I Only Want To Be With You,happy,train
ML1791,Richard Hawley,For Your Lover Give Some Time,sad,train
ML1031,Maximilian Hecker,Kate Moss,sad,train
ML445,Three Dog Night,Joy To The World,happy,train
ML626,Fishbone,Lyin' Ass Bitch,happy,train
ML346,The Clash,London Calling,angry,train
ML587,Switchfoot,The Shadow Proves The Sunshine,relaxed,train
ML1841,Echo & the Bunnymen,Do It Clean,angry,train
ML912,Annie,Anniemal,happy,train
ML1688,Slayer,Public Display Of Dismemberment,angry,train
ML447,Colder,To The Music,happy,train
ML680,The Byrds,Hickory Wind,sad,train
ML1425,Pulp,Blue Glow,sad,train
ML1673,Peter & Gordon,Lady Godiva,happy,train
ML694,Blue Man Group,Time to Start,happy,train
ML880,Justin Timberlake,LoveStoned/I Think She Knows Interlude,happy,train
ML1620,All Time Low,The Beach,happy,train
ML240,The Stooges,Your Pretty Face Is Going to Hell,angry,train
ML1350,Bikini Kill,DemiRep,angry,train
ML1014,Devendra Banhart,Noah,relaxed,train
ML1458,Casiotone for the Painfully Alone,Don't They Have Payphones Wherever You Were Last Night,sad,train
ML610,Enya,China Roses,relaxed,train
ML1664,Lords of Acid,I Sit On Acid (Soulwax remix),happy,train
ML1482,Matt Dusk,Always,relaxed,train
ML1693,Buzzcocks,Ever Fallen in Love?,angry,train
ML1450,Marla Hansen,Shuffle Your Feet,relaxed,train
ML1978,Stephen Lynch,Little Tiny Moustache,happy,train
ML95,Steve Goodman,My Old Man,sad,train
ML1570,Wesley Willis,Oil Express,happy,train
ML510,Rammstein,Feuer und Wasser,sad,train
ML814,Switchfoot,Let Your Love Be Strong,sad,train
ML986,Limp Bizkit,The Propaganda,angry,train
ML1933,Pearl Jam,Animal,angry,train
ML473,Clawfinger,Nothing Going On,angry,train
ML1168,The Replacements,All Shook Down,relaxed,train
ML1039,Refused,The Deadly Rhythm,angry,train
ML1857,Hagalaz' Runedance,Serenade of The Last Wolf,sad,train
ML286,Franz Ferdinand,Jackie Jackson,happy,train
ML1986,Jane Monheit,Moon River,relaxed,train
ML746,Mastodon,Crystal Skull,angry,train
ML1446,Madredeus,O Paraíso,relaxed,train
ML1793,Moxy Früvous,Entropy,happy,train
ML1637,The Constructus Corporation,I'll See You Now Now,relaxed,train
ML168,Megadeth,Psychotron,angry,train
ML1301,Cansei de Ser Sexy,Move,happy,train
ML1243,Rage Against the Machine,Without a Face,angry,train
ML1597,Donald Fagen,Mary Shut The Garden Door,relaxed,train
ML598,Jibbs,Chain Hang Low,happy,train
ML1257,Killswitch Engage,Reckoning,angry,train
ML212,Marcy Playground,Punk Rock Superstar,happy,train
ML491,Stephen Lynch,Baby,happy,train
ML166,ElectroVamp,I Don't Like The Vibe In The VIP,happy,train
ML492,Beatallica,Hey Dude,happy,train
ML1289,Delerium,Fallen Icons,relaxed,train
ML88,Deborah Harry,End Of The Run,sad,train
ML1086,Ella Fitzgerald,Remember,relaxed,train
ML224,Ours,Dizzy,sad,train
ML570,Level 42,Something About You,happy,train
ML1218,Isis,So Did We,sad,train
ML668,Gossip,Eyes Open,angry,train
ML1931,Air,Photograph,relaxed,train
ML1955,"Harry Connick, Jr.",A Wink and a Smile,relaxed,train
ML1544,Jack Johnson,The Horizon Has Been Defeated,relaxed,train
ML1678,Katy Perry,I Kissed A Girl,happy,train
ML823,Marty Robbins,El Paso,relaxed,train
ML1785,Foo Fighters,Virginia Moon,relaxed,train
ML1369,Cure,Killing an Arab,angry,train
ML558,Kathy Mattea,Where've You Been,sad,train
ML1606,Bodyrox,Yeah Yeah,happy,train
ML1708,Guano Apes,You Can't Stop Me,angry,train
ML1719,The Stills,Everything I Build,sad,train
ML153,Conway Twitty,That's My Job,sad,train
ML1805,Rammstein,Ohne dich,sad,train
ML942,Lamb of God,Bloodletting,angry,train
ML612,Riverside,Loose Heart,sad,train
ML632,Megadeth,Captive Honour,angry,train
ML1899,G. Love,Missing My Baby,relaxed,train
ML165,Avenged Sevenfold,Nightmare,angry,train
ML1839,Jack Johnson,Situations,relaxed,train
ML996,The Chameleons,Monkeyland,sad,train
ML645,Röyksopp,Dead to the World,relaxed,train
ML412,White Zombie,Super-Charger Heaven,angry,train
ML427,Newsboys,Something Beautiful,happy,train
ML797,Essie Jain,Glory,relaxed,train
ML1383,Marilyn Manson,Born Again,angry,train
ML1812,Shawn Colvin,Wichita Skyline,relaxed,train
ML1140,Frank Sinatra,Don't Worry 'Bout Me,relaxed,train
ML974,Corinne Bailey Rae,Butterfly,relaxed,train
ML1055,Megadeth,The Killing Road,angry,train
ML1345,Keri Noble,Bartender,sad,train
ML1331,Valley of the Giants,Bala Bay Inn,relaxed,train
ML1154,Stevie Wonder,Ngiculela-Es Una Historia-I Am Singing,relaxed,train
ML1829,Carpark North,Fireworks,sad,train
ML1783,Dave Matthews Band,I Did It,relaxed,train
ML1200,Los Pericos,Pupilas Lejanas,relaxed,train
ML844,Everything But The Girl,Meet Me in the Morning,relaxed,train
ML1347,The Pierces,Turn on Billie,relaxed,train
ML213,Emilie Simon,Le Vieil Amant,relaxed,train
ML1775,Ice T,New Jack Hustler,angry,train
ML1962,Godsmack,Vampires,angry,train
ML1652,Babes In Toyland,Handsome and Gretel,angry,train
ML1778,Anberlin,Dismantle.Repair.,sad,train
ML22,David Sylvian,September,relaxed,train
ML294,Little River Band,It's A Long Way There,relaxed,train
ML1103,Oceansize,Savant,sad,train
ML726,Pinback,Some Voices,relaxed,train
ML49,Megadeth,The World Needs a Hero,angry,train
ML1070,Bruce Springsteen,Hungry Heart,happy,train
ML192,Miley Cyrus,7 Things,happy,train
ML437,Susie Suh,Shell,relaxed,train
ML1371,Bullet For My Valentine,The Poison,angry,train
ML360,Jump5,Beauty And The Beast,happy,train
ML1010,The Unicorns,Jellybones,happy,train
ML1776,Cult of Luna,And With Her Came The Birds,sad,train
ML787,The Rubettes,Sugar Baby Love,happy,train
ML215,IVY,Clear My Head,relaxed,train
ML1303,Flight of the Conchords,Inner City Pressure,happy,train
ML1557,Slipknot,Wait and Bleed,angry,train
ML1181,The Emotions,Flowers,relaxed,train
ML1235,Firefall,Strange Way,relaxed,train
ML339,Sally Shapiro,Anorak Christmas,relaxed,train
ML748,Koop,Waltz for Koop,relaxed,train
ML1806,The Little Willies,Lou Reed,happy,train
ML221,The Fratellis,Cuntry Boys & City Girls,happy,train
ML121,George Jones,He Stopped Loving Her Today,sad,train
ML1399,Sinéad O'Connor,I Do Not Want What I Haven't Got,relaxed,train
ML420,The Rocket Summer,Skies So Blue,happy,train
ML1749,As Cities Burn,Timothy,sad,train
ML915,Lizz Wright,Hey Mann,relaxed,train
ML1238,Take 6,More Than Ever,relaxed,train
ML254,Three Days Grace,Burn,angry,train
ML120,Xavier Rudd,Better People,relaxed,train
ML507,Ephraim Lewis,Drowning In Your Eyes,relaxed,train
ML424,The Unicorns,Let's Get Known,happy,train
ML327,Queen,My Baby Does Me,happy,train
ML1037,Squeeze,Hourglass,happy,train
ML983,Chubby Checker,Limbo Rock,happy,train
ML1355,Birthday Party,Dead Joe,angry,train
ML1447,Jonathan Coulton,You Ruined Everything,happy,train
ML846,Razorlight,Get It And Go,happy,train
ML798,Beyoncé,Baby Boy,happy,train
ML1892,The Kooks,One Last Time,sad,train
ML621,Timo Maas,Pictures,happy,train
ML599,Britney Spears,I Run Away,sad,train
ML601,Björk,Pluto,angry,train
ML1792,Jimmy Eat World,Disintegration,sad,train
ML768,The Kingsmen,Louie Louie,happy,train
ML1789,Architecture in Helsinki,Red Turned White,happy,train
ML1618,Delta Goodrem,Throw It Away,relaxed,train
ML988,Fractured,One More Time,sad,train
ML1155,Matt Wertz,Lonely Tonight,relaxed,train
ML98,Longing for Dawn,Lethal,sad,train
ML201,Blue Öyster Cult,Nosferatu,angry,train
ML730,Dead Kennedys,Holiday in Cambodia,angry,train
ML400,Secret Garden,Sleepsong,relaxed,train
ML481,Violent Femmes,Kiss Off,angry,train
ML1275,HIM,Heartache Every Moment,sad,train
ML1040,Slayer,Can't Stand You,angry,train
ML1266,Jennifer Lopez,Jenny From the Block,happy,train
ML1925,Antimatter,Fighting for a Lost Cause,sad,train
ML543,Jimmy Eat World,Dizzy,sad,train
ML1886,Ludacris,Blow It Out,angry,train
ML1685,Lil' Kim,How Many Licks ,happy,train
ML14,Van Morrison,And It Stoned Me,relaxed,train
ML1575,Antimatter,God Is Coming,sad,train
ML961,Mr. Hyde,Spill Your Blood,angry,train
ML1319,Athlete,Flying Over Bus Stops,relaxed,train
ML923,Chairlift,Ceiling Wax,relaxed,train
ML1382,Ella Fitzgerald,I Get A Kick Out Of You,relaxed,train
ML219,Queens Of The Stone Age,Everybody Knows That You Are Insane,angry,train
ML1861,Slayer,Consfearacy,angry,train
ML1006,Gorillaz,Superfast Jellyfish,happy,train
ML1588,Today Is The Day,Temple of the Morning Star,sad,train
ML233,Lamb of God,As the Palaces Burn,angry,train
ML931,Camera Obscura,Your Picture,sad,train
ML1533,Baccara,"Sorry, I'm A Lady",happy,train
ML962,M83,Carresses,relaxed,train
ML255,Public Enemy,Bring the Noise,angry,train
ML470,Midge Ure,Somebody,sad,train
ML1065,Slayer,Beauty Through Order,angry,train
ML42,Bruce Springsteen,Atlantic City,sad,train
ML105,Diana Krall,You're My Thrill,relaxed,train
ML530,Ghostface Killah,Mighty Healthy,angry,train
ML1386,50 Cent,Ski Mask Way,angry,train
ML749,Enigma,Total Eclipse of the Moon,relaxed,train
ML1199,Joshua Radin,"No Envy, No Fear",relaxed,train
ML493,Ministry,Palestina,angry,train
ML1737,My Bloody Valentine,No More Sorry,sad,train
ML1941,Until June,The Saddest Song,sad,train
ML1418,The Magnetic Fields,The Luckiest Guy On The Lower East Side,happy,train
ML640,Tim Buckley,The Earth is Broken,sad,train
ML865,Slayer,Fight Till Death,angry,train
ML401,Billy Talent,Prisoners of Today,angry,train
ML1980,Chris Garneau,Saturday,sad,train
ML1865,Procol Harum,All This and More,sad,train
ML1307,Hüsker Dü,Hardly Getting Over It,sad,train
ML389,Enya,Less Than a Pearl,relaxed,train
ML860,Nine Inch Nails,Gave Up,angry,train
ML1116,Lunatica,Out!,angry,train
ML1640,Evergreen Terrace,Mad World,angry,train
ML755,Death From Above 1979,Pull Out,happy,train
ML1208,Steely Dan,Only A Fool Would Say That,relaxed,train
ML1344,Laurie Anderson,Speak My Language,sad,train
ML1452,Janis Joplin,Get It While You Can,relaxed,train
ML741,No Doubt,Spiderwebs,happy,train
ML1317,The String Cheese Incident,Sometimes a River,relaxed,train
ML388,Eric Church,Lightning,sad,train
ML498,Secret Garden,Sigma,relaxed,train
ML695,Amon Amarth,Ride For Vengeance,angry,train
ML729,Mortal Love,In the Sun,sad,train
ML1727,Frightened Rabbit,My Backwards Walk,sad,train
ML250,Kaiser Chiefs,Thank You Very Much,happy,train
ML1304,Air,The Vagabond,relaxed,train
ML411,Kool & The Gang,Celebration,happy,train
ML540,Cathedral,Ebony Tears,sad,train
ML122,Café Tacuba,Las Flores,happy,train
ML426,Caesars,It's Not The Fall That Hurts,happy,train
ML1373,Martina Topley-Bird,Ragga,happy,train
ML734,Daft Punk,Technologic,happy,train
ML504,Martin Page,In The House Of Stone And Light,relaxed,train
ML990,BrokeNCYDE,Sex Toyz,happy,train
ML1306,Limp Bizkit,The Story,angry,train
ML699,The Prodigy,Voodoo People,angry,train
ML1122,Seether,Fake It,angry,train
ML1376,Maanam,Wyjątkowo zimny maj,sad,train
ML474,Blue Six,Sweeter Love,relaxed,train
ML1416,The Doors,Celebration of the Lizard,angry,train
ML763,Madredeus,O Sonho,relaxed,train
